event,channel,band,n_epochs,absolute_power_uv2_per_hz,relative_power
S_1,Fp1,delta_1_4Hz,6,7.530594590717294,0.24828985501679587
S_1,Fp1,theta_4_8Hz,6,3.2374776734373563,0.10346824066188315
S_1,Fp1,alpha_8_13Hz,6,1.2025589175046825,0.0399571798197908
S_1,Fp1,beta_13_30Hz,6,8.626009845863148,0.32717804481554014
S_1,F3,delta_1_4Hz,6,7.384659301552942,0.25612613957448443
S_1,F3,theta_4_8Hz,6,2.0767531242095534,0.08331618284180675
S_1,F3,alpha_8_13Hz,6,0.9682111501928541,0.03694450283808346
S_1,F3,beta_13_30Hz,6,11.17934637394607,0.37989337752180696
S_1,F7,delta_1_4Hz,6,15.627367572738603,0.314524128407661
S_1,F7,theta_4_8Hz,6,4.254666069321021,0.0888805082678839
S_1,F7,alpha_8_13Hz,6,1.7967384424624067,0.0429133028310198
S_1,F7,beta_13_30Hz,6,11.568423586165526,0.25379544655419045
S_1,FT9,delta_1_4Hz,6,5.818383710700487,0.2531083398619199
S_1,FT9,theta_4_8Hz,6,2.0089165576294703,0.08035810769718153
S_1,FT9,alpha_8_13Hz,6,0.9710014563580031,0.047952817084842954
S_1,FT9,beta_13_30Hz,6,6.967584311286379,0.3304946890979868
S_1,FC5,delta_1_4Hz,6,6.260509930999378,0.2795991834227466
S_1,FC5,theta_4_8Hz,6,0.9924077382698498,0.0516371025394613
S_1,FC5,alpha_8_13Hz,6,0.8478658513371208,0.04250386830869025
S_1,FC5,beta_13_30Hz,6,9.370391541619687,0.3937532018416959
S_1,FC1,delta_1_4Hz,6,4.700714169326129,0.2448990196039149
S_1,FC1,theta_4_8Hz,6,1.0170304084071915,0.08183263198865957
S_1,FC1,alpha_8_13Hz,6,0.8094280698337241,0.04650880620919556
S_1,FC1,beta_13_30Hz,6,5.766729303816036,0.3419084691290926
S_1,C3,delta_1_4Hz,6,3.296532413317972,0.2404968276813503
S_1,C3,theta_4_8Hz,6,0.5114568888087155,0.0477759223026297
S_1,C3,alpha_8_13Hz,6,0.7261537818518357,0.055938489044104506
S_1,C3,beta_13_30Hz,6,6.040946162047721,0.39784767024771206
S_1,T7,delta_1_4Hz,6,3.980043298096917,0.1593158311507091
